datetime,temp_C,humidity_%,windspeed_kph,precip_mm,pm10,pm2_5,co,no2,so2,o3,log_co,log_pm2_5,log_pm10,log_precip_mm,log_so2,log_no2,scaled_temp_C,scaled_humidity_%,scaled_windspeed_kph,scaled_log_pm2_5,scaled_log_pm10,scaled_log_precip_mm,scaled_log_co,scaled_log_no2,scaled_log_so2,scaled_o3,aqi_us,aqi_us_lag1,aqi_us_lag24,hour_sin,hour_cos,aqi_us_lag12,hour,day_of_week,is_weekend,log_pm2_5_scaled_windspeed_kph,scaled_temp_C_scaled_o3,scaled_temp_C_scaled_windspeed_kph
01/04/2025 10:00,32.0,29.47,7.6,0.0,95.5,33.4,328.0,8.3,28.2,178.0,5.796057751,3.538056564,4.569543008,0.0,3.374168709,2.2300144,0.322934057,-1.90140078,-1.168000401,1.007190919,0.974377681,-0.109221172,0.315569852,-0.405034587,2.448960219,3.155736059,72,71.0,61.0,0.5,-0.866025404,84.0,10,1,0,-4.132451486,1.019094648,-0.377187108
01/04/2025 11:00,33.0,25.79,7.6,0.0,90.1,32.1,374.0,11.6,24.4,157.0,5.926926026,3.499533282,4.511957804,0.0,3.234749174,2.533696814,0.637949457,-2.107826436,-1.168000401,0.897682224,0.875415506,-0.109221172,0.626576974,0.087491492,2.032160819,2.497045758,90,72.0,60.0,0.258819045,-0.965925826,65.0,11,1,0,-4.087456277,1.592988985,-0.745125222
01/04/2025 12:00,36.0,16.84,13.0,0.0,65.0,25.7,454.0,16.6,21.8,137.0,6.120297419,3.284663565,4.189654742,0.0,3.126760536,2.867898902,1.582995659,-2.609867093,-0.515673344,0.286880104,0.321526491,-0.109221172,1.086122118,0.629515779,1.709325145,1.869721661,116,90.0,61.0,1.22e-16,-1.0,65.0,12,1,0,-1.693813444,2.959761273,-0.816308665
01/04/2025 13:00,37.0,13.89,9.4,0.0,57.5,25.4,613.0,23.8,19.3,114.0,6.419994928,3.27336401,4.069026754,0.0,3.010620886,3.210843653,1.898011059,-2.775344181,-0.950558049,0.25475928,0.114223101,-0.109221172,1.798350193,1.185719319,1.362121747,1.14829895,132,116.0,61.0,-0.258819045,-0.965925826,65.0,13,1,0,-3.111522507,2.179484106,-1.804169689
01/04/2025 14:00,37.8,22.8,18.4,0.0,50.6,25.0,808.0,34.0,15.9,82.0,6.695798917,3.258096538,3.943521672,0.0,2.827313622,3.555348061,2.150023379,-2.275547281,0.136653713,0.211359007,-0.101461744,-0.109221172,2.453795561,1.744452382,0.814118502,0.144580396,134,132.0,61.0,-0.5,-0.866025404,65.0,14,1,0,0.445230989,0.310851232,0.293808678
01/04/2025 15:00,36.0,26.86,24.1,0.0,47.0,23.6,904.0,43.9,14.0,55.0,6.807934944,3.202746443,3.871201011,0.0,2.708050201,3.804437795,1.582995659,-2.047805933,0.825221162,0.054017359,-0.225747315,-0.109221172,2.720285685,2.148437545,0.457576486,-0.702307135,122,134.0,62.0,-0.707106781,-0.707106781,66.0,15,1,0,2.642974141,-1.111749146,1.306321517
01/04/2025 16:00,35.0,28.39,24.1,0.0,44.9,23.3,810.0,54.2,15.3,38.0,6.698268054,3.19047635,3.826465117,0.0,2.791165108,4.010962953,1.267980258,-1.961982223,0.825221162,0.019137625,-0.302627503,-0.109221172,2.45966344,2.483389527,0.706051301,-1.235532617,99,122.0,85.0,-0.866025404,-0.5,66.0,16,1,0,2.632848601,-1.566630966,1.046364142
01/04/2025 17:00,34.2,32.16,18.4,0.0,48.4,26.5,617.0,64.1,18.1,27.0,6.426488457,3.314186005,3.899950424,0.0,2.949688335,4.175924549,1.015967938,-1.750508113,0.136653713,0.37080244,-0.176340449,-0.109221172,1.813781999,2.750931816,1.179961832,-1.58056087,76,99.0,107.0,-0.965925826,-0.258819045,67.0,17,1,0,0.452895823,-1.605799168,0.138835791
01/04/2025 18:00,32.0,38.2,22.3,0.0,58.4,34.2,473.0,67.9,19.7,22.0,6.161207322,3.561046083,4.084294226,0.0,3.0301337,4.232656178,0.322934057,-1.411700787,0.607778809,1.072542364,0.140460783,-0.109221172,1.183344085,2.842941776,1.420455963,-1.737391894,77,76.0,119.0,-1.0,-1.84e-16,68.0,18,1,0,2.164328347,-0.561063013,0.196272477
01/04/2025 19:00,29.0,48.34,18.4,0.0,48.7,30.5,446.0,60.4,18.7,27.0,6.102558595,3.449987546,3.906004933,0.0,2.980618636,4.117409835,-0.622112145,-0.842908356,0.136653713,0.756840409,-0.165935565,-0.109221172,1.043965983,2.656029967,1.272429009,-1.58056087,78,77.0,119.0,-0.965925826,0.258819045,68.0,19,1,0,0.471453608,0.983286113,-0.085013935
