datetime,temp_C,humidity_%,windspeed_kph,precip_mm
2025-04-05 13:00:00,38.0,24.08,13.0,0.0
2025-04-05 14:00:00,38.6,21.42,19.7,0.0
2025-04-05 15:00:00,39.0,14.31,27.7,0.0
2025-04-05 16:00:00,39.0,13.35,22.3,0.0
2025-04-05 17:00:00,37.6,15.97,20.4,0.0
2025-04-05 18:00:00,36.0,15.72,16.6,0.0
2025-04-05 19:00:00,33.0,33.86,18.4,0.0
2025-04-05 20:00:00,30.0,52.48,11.2,0.0
2025-04-05 21:00:00,29.0,48.34,9.4,0.0
2025-04-05 22:00:00,28.0,48.08,11.2,0.0
2025-04-05 23:00:00,27.6,60.15,9.3,0.0
2025-04-06 00:00:00,26.0,61.38,5.4,0.0
2025-04-06 01:00:00,26.0,57.62,11.2,0.0
2025-04-06 02:00:00,27.0,54.29,14.0,0.0
2025-04-06 03:00:00,27.0,47.81,11.2,0.0
2025-04-06 04:00:00,26.0,54.07,9.4,0.0
2025-04-06 05:00:00,26.4,59.62,11.2,0.0
2025-04-06 06:00:00,26.0,57.62,11.2,0.0
2025-04-06 07:00:00,25.0,65.13,7.6,0.0
2025-04-06 08:00:00,28.0,60.29,9.7,0.0
2025-04-06 09:00:00,31.0,43.09,9.4,0.0
2025-04-06 10:00:00,33.0,31.74,9.4,0.0
2025-04-06 11:00:00,36.0,23.58,14.4,0.0
2025-04-06 12:00:00,38.0,13.15,18.4,0.0
2025-04-06 13:00:00,40.0,11.01,33.5,0.0
2025-04-06 14:00:00,39.0,18.36,28.6,0.0
2025-04-06 15:00:00,38.0,22.56,29.5,0.0
2025-04-06 16:00:00,37.0,19.54,31.7,0.0
2025-04-06 17:00:00,35.6,24.46,28.1,0.0
2025-04-06 18:00:00,35.0,23.32,22.3,0.0
2025-04-06 19:00:00,32.0,27.58,20.5,0.0
2025-04-06 20:00:00,30.6,31.45,15.5,0.0
2025-04-06 21:00:00,29.0,37.37,9.4,0.0
2025-04-06 22:00:00,28.0,39.6,11.2,0.0
2025-04-06 23:00:00,29.2,39.71,19.9,0.0
2025-04-07 00:00:00,29.0,37.37,14.8,0.0
2025-04-07 01:00:00,29.0,37.37,20.5,0.0
2025-04-07 02:00:00,29.0,36.02,19.7,0.0
2025-04-07 03:00:00,28.0,42.27,13.0,0.0
2025-04-07 04:00:00,28.0,42.27,11.2,0.0
2025-04-07 05:00:00,27.4,48.9,11.2,0.0
2025-04-07 06:00:00,27.0,50.97,9.4,0.0
2025-04-07 07:00:00,27.0,54.32,11.2,0.0
2025-04-07 08:00:00,28.2,55.72,17.3,0.0
2025-04-07 09:00:00,30.0,48.6,14.8,0.0
2025-04-07 10:00:00,32.0,38.2,18.4,0.0
